season,team_abbr,gp,w,l,otl,pts,pts_pct,gf,ga,gd
1918,MTL,22,13,9,0,26,0.591,115,84,31
1919,MTL,18,10,8,0,20,0.556,88,78,10
1920,MTL,24,13,11,0,26,0.542,129,113,16
1921,HAM,24,6,18,0,12,0.25,92,132,-40
1921,MTL,24,13,11,0,26,0.542,112,99,13
1922,HAM,24,7,17,0,14,0.292,88,105,-17
1922,MTL,24,12,11,0,25,0.521,88,94,-6
1923,HAM,24,6,18,0,12,0.25,81,110,-29
1923,MTL,24,13,9,0,28,0.583,73,61,12
1924,HAM,24,9,15,0,18,0.375,63,68,-5
1924,MTL,24,13,11,0,26,0.542,59,48,11
1925,BOS,30,6,24,0,12,0.2,49,119,-70
1925,HAM,30,19,10,0,39,0.65,90,60,30
1925,MMR,30,9,19,0,20,0.333,45,65,-20
1925,MTL,30,17,11,0,36,0.6,93,56,37
1926,BOS,36,17,15,0,38,0.528,92,85,7
1926,MMR,36,20,11,0,45,0.625,91,73,18
1926,MTL,36,11,24,0,23,0.319,79,108,-29
1926,NYA,36,12,20,0,28,0.389,68,89,-21
1927,BOS,44,21,20,0,45,0.511,97,89,8
1927,CHI,44,19,22,0,41,0.466,115,116,-1
1927,DCG,44,12,28,0,28,0.318,76,105,-29
1927,MMR,44,20,20,0,44,0.5,71,68,3
1927,MTL,44,28,14,0,58,0.659,99,67,32
1927,NYA,44,17,25,0,36,0.409,82,91,-9
1927,NYR,44,25,13,0,56,0.636,95,72,23
1928,BOS,44,20,13,0,51,0.58,77,70,7
1928,CHI,44,7,34,0,17,0.193,68,134,-66
1928,DCG,44,19,19,0,44,0.5,88,79,9
1928,MMR,44,24,14,0,54,0.614,96,77,19
1928,MTL,44,26,11,0,59,0.67,116,48,68
1928,NYA,44,11,27,0,28,0.318,63,128,-65
1928,NYR,44,19,16,0,47,0.534,94,79,15
1928,TOR,44,18,18,0,44,0.5,89,88,1
1929,BOS,44,26,13,0,57,0.648,89,52,37
1929,CHI,44,7,29,0,22,0.25,33,85,-52
1929,DCG,44,19,16,0,47,0.534,72,63,9
1929,MMR,44,15,20,0,39,0.443,67,65,2
1929,MTL,44,22,7,0,59,0.67,71,43,28
1929,NYA,44,19,13,0,50,0.568,53,53,0
1929,NYR,44,21,13,0,52,0.591,72,65,7
1929,TOR,44,21,18,0,47,0.534,85,69,16
1930,BOS,44,38,5,0,77,0.875,179,98,81
1930,CHI,44,21,18,0,47,0.534,117,111,6
1930,DCG,44,14,24,0,34,0.386,117,133,-16
1930,MMR,44,23,16,0,51,0.58,141,114,27
1930,MTL,44,21,14,0,51,0.58,142,114,28
1930,NYA,44,14,25,0,33,0.375,113,161,-48
1930,NYR,44,17,17,0,44,0.5,136,143,-7
1930,TOR,44,17,21,0,40,0.455,116,124,-8
1931,BOS,44,28,10,0,62,0.705,143,90,53
1931,CHI,44,24,17,0,51,0.58,108,78,30
1931,DFL,44,16,21,0,39,0.443,102,105,-3
1931,MMR,44,20,18,0,46,0.523,105,106,-1
1931,MTL,44,26,10,0,60,0.682,129,89,40
1931,NYA,44,18,16,0,46,0.523,76,74,2
1931,NYR,44,19,16,0,47,0.534,106,87,19
1931,TOR,44,22,13,0,53,0.602,118,99,19
1932,BOS,48,15,21,0,42,0.438,122,117,5
1932,CHI,48,18,19,0,47,0.49,86,101,-15
1932,DFL,48,18,20,0,46,0.479,95,108,-13
1932,MMR,48,19,22,0,45,0.469,142,139,3
1932,MTL,48,25,16,0,57,0.594,128,111,17
1932,NYA,48,16,24,0,40,0.417,95,142,-47
1932,NYR,48,23,17,0,54,0.562,134,112,22
1932,TOR,48,23,18,0,53,0.552,155,127,28
1933,BOS,48,25,15,0,58,0.604,124,88,36
1933,CHI,48,16,20,0,44,0.458,88,101,-13
1933,DET,48,25,15,0,58,0.604,111,93,18
1933,MMR,48,22,20,0,50,0.521,135,119,16
1933,MTL,48,18,25,0,41,0.427,92,115,-23
1933,NYA,48,15,22,0,41,0.427,91,118,-27
1933,NYR,48,23,17,0,54,0.562,135,107,28
1933,TOR,48,24,18,0,54,0.562,119,111,8
1934,BOS,48,18,25,0,41,0.427,111,130,-19
1934,CHI,48,20,17,0,51,0.531,88,83,5
1934,DET,48,24,14,0,58,0.604,113,98,15
1934,MMR,48,19,18,0,49,0.51,117,122,-5
1934,MTL,48,22,20,0,50,0.521,99,101,-2
1934,NYA,48,15,23,0,40,0.417,104,132,-28
1934,NYR,48,21,19,0,50,0.521,120,113,7
1934,TOR,48,26,13,0,61,0.635,174,119,55
1935,BOS,48,26,16,0,58,0.604,129,112,17
1935,CHI,48,26,17,0,57,0.594,118,88,30
1935,DET,48,19,22,0,45,0.469,127,114,13
1935,MMR,48,24,19,0,53,0.552,123,92,31
1935,MTL,48,19,23,0,44,0.458,110,145,-35
1935,NYA,48,12,27,0,33,0.344,100,142,-42
1935,NYR,48,22,20,0,50,0.521,137,139,-2
1935,TOR,48,30,14,0,64,0.667,157,111,46
1936,BOS,48,22,20,0,50,0.521,92,83,9
1936,CHI,48,21,19,0,50,0.521,93,92,1
1936,DET,48,24,16,0,56,0.583,124,103,21
1936,MMR,48,22,16,0,54,0.562,114,106,8
1936,MTL,48,11,26,0,33,0.344,82,123,-41
1936,NYA,48,16,25,0,39,0.406,109,122,-13
1936,NYR,48,19,17,0,50,0.521,91,96,-5
1936,TOR,48,23,19,0,52,0.542,126,106,20
1937,BOS,48,23,18,0,53,0.552,120,110,10
1937,CHI,48,14,27,0,35,0.365,99,131,-32
1937,DET,48,25,14,0,59,0.615,128,102,26
1937,MMR,48,22,17,0,53,0.552,126,110,16
1937,MTL,48,24,18,0,54,0.562,115,111,4
1937,NYA,48,15,29,0,34,0.354,122,161,-39
1937,NYR,48,19,20,0,47,0.49,117,106,11
1937,TOR,48,22,21,0,49,0.51,119,115,4
1938,BOS,48,30,11,0,67,0.698,142,89,53
1938,CHI,48,14,25,0,37,0.385,97,139,-42
1938,DET,48,12,25,0,35,0.365,99,133,-34
1938,MMR,48,12,30,0,30,0.312,101,149,-48
1938,MTL,48,18,17,0,49,0.51,123,128,-5
1938,NYA,48,19,18,0,49,0.51,110,111,-1
1938,NYR,48,27,15,0,60,0.625,149,96,53
1938,TOR,48,24,15,0,57,0.594,151,127,24
1939,BOS,48,36,10,0,74,0.771,156,76,80
1939,CHI,48,12,28,0,32,0.333,91,132,-41
1939,DET,48,18,24,0,42,0.438,107,128,-21
1939,MTL,48,15,24,0,39,0.406,115,146,-31
1939,NYA,48,17,21,0,44,0.458,119,157,-38
1939,NYR,48,26,16,0,58,0.604,149,105,44
1939,TOR,48,19,20,0,47,0.49,114,107,7
1940,BOS,48,31,12,0,67,0.698,170,98,72
1940,CHI,48,23,19,0,52,0.542,112,120,-8
1940,DET,48,16,26,0,38,0.396,90,126,-36
1940,MTL,48,10,33,0,25,0.26,90,167,-77
1940,NYA,48,15,29,0,34,0.354,106,140,-34
1940,NYR,48,27,11,0,64,0.667,136,77,59
1940,TOR,48,25,17,0,56,0.583,134,110,24
1941,BOS,48,27,8,0,67,0.698,168,102,66
1941,CHI,48,16,25,0,39,0.406,112,139,-27
1941,DET,48,21,16,0,53,0.552,112,102,10
1941,MTL,48,16,26,0,38,0.396,121,147,-26
1941,NYA,48,8,29,0,27,0.281,99,186,-87
1941,NYR,48,21,19,0,50,0.521,143,125,18
1941,TOR,48,28,14,0,62,0.646,145,99,46
1942,BOS,48,25,17,0,56,0.583,160,118,42
1942,BRK,48,16,29,0,35,0.365,133,175,-42
1942,CHI,48,22,23,0,47,0.49,145,155,-10
1942,DET,48,19,25,0,42,0.438,140,147,-7
1942,MTL,48,18,27,0,39,0.406,134,173,-39
1942,NYR,48,29,17,0,60,0.625,177,143,34
1942,TOR,48,27,18,0,57,0.594,158,136,22
1943,BOS,50,24,17,0,57,0.57,195,176,19
1943,CHI,50,17,18,0,49,0.49,179,180,-1
1943,DET,50,25,14,0,61,0.61,169,124,45
1943,MTL,50,19,19,0,50,0.5,181,191,-10
1943,NYR,50,11,31,0,30,0.3,161,253,-92
1943,TOR,50,22,19,0,53,0.53,198,159,39
1944,BOS,50,19,26,0,43,0.43,223,268,-45
1944,CHI,50,22,23,0,49,0.49,178,187,-9
1944,DET,50,26,18,0,58,0.58,214,177,37
1944,MTL,50,38,5,0,83,0.83,234,109,125
1944,NYR,50,6,39,0,17,0.17,162,310,-148
1944,TOR,50,23,23,0,50,0.5,214,174,40
1945,BOS,50,16,30,0,36,0.36,179,219,-40
1945,CHI,50,13,30,0,33,0.33,141,194,-53
1945,DET,50,31,14,0,67,0.67,218,161,57
1945,MTL,50,38,8,0,80,0.8,228,121,107
1945,NYR,50,11,29,0,32,0.32,154,247,-93
1945,TOR,50,24,22,0,52,0.52,183,161,22
1946,BOS,50,24,18,0,56,0.56,167,156,11
1946,CHI,50,23,20,0,53,0.53,200,178,22
1946,DET,50,20,20,0,50,0.5,146,159,-13
1946,MTL,50,28,17,0,61,0.61,172,134,38
1946,NYR,50,13,28,0,35,0.35,144,191,-47
1946,TOR,50,19,24,0,45,0.45,174,185,-11
1947,BOS,60,26,23,0,63,0.525,190,175,15
1947,CHI,60,19,37,0,42,0.35,193,274,-81
1947,DET,60,22,27,0,55,0.458,190,193,-3
1947,MTL,60,34,16,0,78,0.65,189,138,51
1947,NYR,60,22,32,0,50,0.417,167,186,-19
1947,TOR,60,31,19,0,72,0.6,209,172,37
1948,BOS,60,23,24,0,59,0.492,167,168,-1
1948,CHI,60,20,34,0,46,0.383,195,225,-30
1948,DET,60,30,18,0,72,0.6,187,148,39
1948,MTL,60,20,29,0,51,0.425,147,169,-22
1948,NYR,60,21,26,0,55,0.458,176,201,-25
1948,TOR,60,32,15,0,77,0.642,182,143,39
1949,BOS,60,29,23,0,66,0.55,178,163,15
1949,CHI,60,21,31,0,50,0.417,173,211,-38
1949,DET,60,34,19,0,75,0.625,195,145,50
1949,MTL,60,28,23,0,65,0.542,152,126,26
1949,NYR,60,18,31,0,47,0.392,133,172,-39
1949,TOR,60,22,25,0,57,0.475,147,161,-14
1950,BOS,70,22,32,0,60,0.429,198,228,-30
1950,CHI,70,22,38,0,54,0.386,203,244,-41
1950,DET,70,37,19,0,88,0.629,229,164,65
1950,MTL,70,29,22,0,77,0.55,172,150,22
1950,NYR,70,28,31,0,67,0.479,170,189,-19
1950,TOR,70,31,27,0,74,0.529,176,173,3
1951,BOS,70,22,30,0,62,0.443,178,197,-19
1951,CHI,70,13,47,0,36,0.257,171,280,-109
1951,DET,70,44,13,0,101,0.721,236,139,97
1951,MTL,70,25,30,0,65,0.464,173,184,-11
1951,NYR,70,20,29,0,61,0.436,169,201,-32
1951,TOR,70,41,16,0,95,0.679,212,138,74
1952,BOS,70,25,29,0,66,0.471,162,176,-14
1952,CHI,70,17,44,0,43,0.307,158,241,-83
1952,DET,70,44,14,0,100,0.714,215,133,82
1952,MTL,70,34,26,0,78,0.557,195,164,31
1952,NYR,70,23,34,0,59,0.421,192,219,-27
1952,TOR,70,29,25,0,74,0.529,168,157,11
1953,BOS,70,28,29,0,69,0.493,152,172,-20
1953,CHI,70,27,28,0,69,0.493,169,175,-6
1953,DET,70,36,16,0,90,0.643,222,133,89
1953,MTL,70,28,23,0,75,0.536,155,148,7
1953,NYR,70,17,37,0,50,0.357,152,211,-59
1953,TOR,70,27,30,0,67,0.479,156,167,-11
1954,BOS,70,32,28,0,74,0.529,177,181,-4
1954,CHI,70,12,51,0,31,0.221,133,242,-109
1954,DET,70,37,19,0,88,0.629,191,132,59
1954,MTL,70,35,24,0,81,0.579,195,141,54
1954,NYR,70,29,31,0,68,0.486,161,182,-21
1954,TOR,70,32,24,0,78,0.557,152,131,21
1955,BOS,70,23,26,0,67,0.479,169,188,-19
1955,CHI,70,13,40,0,43,0.307,161,235,-74
1955,DET,70,42,17,0,95,0.679,204,134,70
1955,MTL,70,41,18,0,93,0.664,228,157,71
1955,NYR,70,17,35,0,52,0.371,150,210,-60
1955,TOR,70,24,24,0,70,0.5,147,135,12
1956,BOS,70,23,34,0,59,0.421,147,185,-38
1956,CHI,70,19,39,0,50,0.357,155,216,-61
1956,DET,70,30,24,0,76,0.543,183,148,35
1956,MTL,70,45,15,0,100,0.714,222,131,91
1956,NYR,70,32,28,0,74,0.529,204,203,1
1956,TOR,70,24,33,0,61,0.436,153,181,-28
1957,BOS,70,34,24,0,80,0.571,195,174,21
1957,CHI,70,16,39,0,47,0.336,169,225,-56
1957,DET,70,38,20,0,88,0.629,198,157,41
1957,MTL,70,35,23,0,82,0.586,210,155,55
1957,NYR,70,26,30,0,66,0.471,184,227,-43
1957,TOR,70,21,34,0,57,0.407,174,192,-18
1958,BOS,70,27,28,0,69,0.493,199,194,5
1958,CHI,70,24,39,0,55,0.393,163,202,-39
1958,DET,70,29,29,0,70,0.5,176,207,-31
1958,MTL,70,43,17,0,96,0.686,250,158,92
1958,NYR,70,32,25,0,77,0.55,195,188,7
1958,TOR,70,21,38,0,53,0.379,192,226,-34
1959,BOS,70,32,29,0,73,0.521,205,215,-10
1959,CHI,70,28,29,0,69,0.493,197,208,-11
1959,DET,70,25,37,0,58,0.414,167,218,-51
1959,MTL,70,39,18,0,91,0.65,258,158,100
1959,NYR,70,26,32,0,64,0.457,201,217,-16
1959,TOR,70,27,32,0,65,0.464,189,201,-12
1960,BOS,70,28,34,0,64,0.457,220,241,-21
1960,CHI,70,28,29,0,69,0.493,191,180,11
1960,DET,70,26,29,0,67,0.479,186,197,-11
1960,MTL,70,40,18,0,92,0.657,255,178,77
1960,NYR,70,17,38,0,49,0.35,187,247,-60
1960,TOR,70,35,26,0,79,0.564,199,195,4
1961,BOS,70,15,42,0,43,0.307,176,254,-78
1961,CHI,70,29,24,0,75,0.536,198,180,18
1961,DET,70,25,29,0,66,0.471,195,215,-20
1961,MTL,70,41,19,0,92,0.657,254,188,66
1961,NYR,70,22,38,0,54,0.386,204,248,-44
1961,TOR,70,39,19,0,90,0.643,234,176,58
1962,BOS,70,15,47,0,38,0.271,177,306,-129
1962,CHI,70,31,26,0,75,0.536,217,186,31
1962,DET,70,23,33,0,60,0.429,184,219,-35
1962,MTL,70,42,14,0,98,0.7,259,166,93
1962,NYR,70,26,32,0,64,0.457,195,207,-12
1962,TOR,70,37,22,0,85,0.607,232,180,52
1963,BOS,70,14,39,0,45,0.321,198,281,-83
1963,CHI,70,32,21,0,81,0.579,194,178,16
1963,DET,70,32,25,0,77,0.55,200,194,6
1963,MTL,70,28,19,0,79,0.564,225,183,42
1963,NYR,70,22,36,0,56,0.4,211,233,-22
1963,TOR,70,35,23,0,82,0.586,221,180,41
1964,BOS,70,18,40,0,48,0.343,170,212,-42
1964,CHI,70,36,22,0,84,0.6,218,169,49
1964,DET,70,30,29,0,71,0.507,191,204,-13
1964,MTL,70,36,21,0,85,0.607,209,167,42
1964,NYR,70,22,38,0,54,0.386,186,242,-56
1964,TOR,70,33,25,0,78,0.557,192,172,20
1965,BOS,70,21,43,0,48,0.343,166,253,-87
1965,CHI,70,34,28,0,76,0.543,224,176,48
1965,DET,70,40,23,0,87,0.621,224,175,49
1965,MTL,70,36,23,0,83,0.593,211,185,26
1965,NYR,70,20,38,0,52,0.371,179,246,-67
1965,TOR,70,30,26,0,74,0.529,204,173,31
1966,BOS,70,21,43,0,48,0.343,174,275,-101
1966,CHI,70,37,25,0,82,0.586,240,187,53
1966,DET,70,31,27,0,74,0.529,221,194,27
1966,MTL,70,41,21,0,90,0.643,239,173,66
1966,NYR,70,18,41,0,47,0.336,195,261,-66
1966,TOR,70,34,25,0,79,0.564,208,187,21
1967,BOS,70,17,43,0,44,0.314,182,253,-71
1967,CHI,70,41,17,0,94,0.671,264,170,94
1967,DET,70,27,39,0,58,0.414,212,241,-29
1967,MTL,70,32,25,0,77,0.55,202,188,14
1967,NYR,70,30,28,0,72,0.514,188,189,-1
1967,TOR,70,32,27,0,75,0.536,204,211,-7
1968,BOS,74,37,27,0,84,0.568,259,216,43
1968,CHI,74,32,26,0,80,0.541,212,222,-10
1968,DET,74,27,35,0,66,0.446,245,257,-12
1968,LAK,74,31,33,0,72,0.486,200,224,-24
1968,MNS,74,27,32,0,69,0.466,191,226,-35
1968,MTL,74,42,22,0,94,0.635,236,167,69
1968,NYR,74,39,23,0,90,0.608,226,183,43
1968,OAK,74,15,42,0,47,0.318,153,219,-66
1968,PHI,74,31,32,0,73,0.493,173,179,-6
1968,PIT,74,27,34,0,67,0.453,195,216,-21
1968,STL,74,27,31,0,70,0.473,177,191,-14
1968,TOR,74,33,31,0,76,0.514,209,176,33
1969,BOS,76,42,18,0,100,0.658,303,221,82
1969,CHI,76,34,33,0,77,0.507,280,246,34
1969,DET,76,33,31,0,78,0.513,239,221,18
1969,LAK,76,24,42,0,58,0.382,185,260,-75
1969,MNS,76,18,43,0,51,0.336,189,270,-81
1969,MTL,76,46,19,0,103,0.678,271,202,69
1969,NYR,76,41,26,0,91,0.599,231,196,35
1969,OAK,76,29,36,0,69,0.454,219,251,-32
1969,PHI,76,20,35,0,61,0.401,174,225,-51
1969,PIT,76,20,45,0,51,0.336,189,252,-63
1969,STL,76,37,25,0,88,0.579,204,157,47
1969,TOR,76,35,26,0,85,0.559,234,217,17
1970,BOS,76,40,17,0,99,0.651,277,216,61
1970,CHI,76,45,22,0,99,0.651,250,170,80
1970,DET,76,40,21,0,95,0.625,246,199,47
1970,LAK,76,14,52,0,38,0.25,168,290,-122
1970,MNS,76,19,35,0,60,0.395,224,257,-33
1970,MTL,76,38,22,0,92,0.605,244,201,43
1970,NYR,76,38,22,0,92,0.605,246,189,57
1970,OAK,76,22,40,0,58,0.382,169,243,-74
1970,PHI,76,17,35,0,58,0.382,197,225,-28
1970,PIT,76,26,38,0,64,0.421,182,238,-56
1970,STL,76,37,27,0,86,0.566,224,179,45
1970,TOR,76,29,34,0,71,0.467,222,242,-20
1971,BOS,78,57,14,0,121,0.776,399,207,192
1971,BUF,78,24,39,0,63,0.404,217,291,-74
1971,CHI,78,49,20,0,107,0.686,277,184,93
1971,DET,78,22,45,0,55,0.353,209,308,-99
1971,LAK,78,25,40,0,63,0.404,239,303,-64
1971,MNS,78,28,34,0,72,0.462,191,223,-32
1971,MTL,78,42,23,0,97,0.622,291,216,75
1971,NYR,78,49,18,0,109,0.699,259,177,82
1971,PHI,78,28,33,0,73,0.468,207,225,-18
1971,PIT,78,21,37,0,62,0.397,221,240,-19
1971,STL,78,34,25,0,87,0.558,223,208,15
1971,TOR,78,37,33,0,82,0.526,248,211,37
1971,VAN,78,24,46,0,56,0.359,229,296,-67
1972,BOS,78,54,13,0,119,0.763,330,204,126
1972,BUF,78,16,43,0,51,0.327,203,289,-86
1972,CHI,78,46,17,0,107,0.686,256,166,90
1972,DET,78,33,35,0,76,0.487,261,262,-1
1972,LAK,78,20,49,0,49,0.314,206,305,-99
1972,MNS,78,37,29,0,86,0.551,212,191,21
1972,MTL,78,46,16,0,108,0.692,307,205,102
1972,NYR,78,48,17,0,109,0.699,317,192,125
1972,PHI,78,26,38,0,66,0.423,200,236,-36
1972,PIT,78,26,38,0,66,0.423,220,258,-38
1972,STL,78,28,39,0,67,0.429,208,247,-39
1972,TOR,78,33,31,0,80,0.513,209,208,1
1972,VAN,78,20,50,0,48,0.308,203,297,-94
1973,AFM,78,25,38,0,65,0.417,191,239,-48
1973,BOS,78,51,22,0,107,0.686,330,235,95
1973,BUF,78,37,27,0,88,0.564,257,219,38
1973,CHI,78,42,27,0,93,0.596,284,225,59
1973,DET,78,37,29,0,86,0.551,265,243,22
1973,LAK,78,31,36,0,73,0.468,232,245,-13
1973,MNS,78,37,30,0,85,0.545,254,230,24
1973,MTL,78,52,10,0,120,0.769,329,184,145
1973,NYI,78,12,60,0,30,0.192,170,347,-177
1973,NYR,78,47,23,0,102,0.654,297,208,89
1973,PHI,78,37,30,0,85,0.545,296,256,40
1973,PIT,78,32,37,0,73,0.468,257,265,-8
1973,STL,78,32,34,0,76,0.487,233,251,-18
1973,TOR,78,27,41,0,64,0.41,247,279,-32
1973,VAN,78,22,47,0,53,0.34,233,339,-106
1974,AFM,78,30,34,0,74,0.474,214,238,-24
1974,BOS,78,52,17,0,113,0.724,349,221,128
1974,BUF,78,32,34,0,76,0.487,242,250,-8
1974,CHI,78,41,14,0,105,0.673,272,164,108
1974,DET,78,29,39,0,68,0.436,255,319,-64
1974,LAK,78,33,33,0,78,0.5,233,231,2
1974,MNS,78,23,38,0,63,0.404,235,275,-40
1974,MTL,78,45,24,0,99,0.635,293,240,53
1974,NYI,78,19,41,0,56,0.359,182,247,-65
1974,NYR,78,40,24,0,94,0.603,300,251,49
1974,PHI,78,50,16,0,112,0.718,273,164,109
1974,PIT,78,28,41,0,65,0.417,242,273,-31
1974,STL,78,26,40,0,64,0.41,206,248,-42
1974,TOR,78,35,27,0,86,0.551,274,230,44
1974,VAN,78,24,43,0,59,0.378,224,296,-72
1975,AFM,80,34,31,0,83,0.519,243,233,10
1975,BOS,80,40,26,0,94,0.588,345,245,100
1975,BUF,80,49,16,0,113,0.706,354,240,114
1975,CHI,80,37,35,0,82,0.512,268,241,27
1975,DET,80,23,45,0,58,0.362,259,335,-76
1975,KCS,80,15,54,0,41,0.256,184,328,-144
1975,LAK,80,42,17,0,105,0.656,269,185,84
1975,MNS,80,23,50,0,53,0.331,221,341,-120
1975,MTL,80,47,14,0,113,0.706,374,225,149
1975,NYI,80,33,25,0,88,0.55,264,221,43
1975,NYR,80,37,29,0,88,0.55,319,276,43
1975,PHI,80,51,18,0,113,0.706,293,181,112
1975,PIT,80,37,28,0,89,0.556,326,289,37
1975,STL,80,35,31,0,84,0.525,269,267,2
1975,TOR,80,31,33,0,78,0.488,280,309,-29
1975,VAN,80,38,32,0,86,0.538,271,254,17
1975,WSH,80,8,67,0,21,0.131,181,446,-265
1976,AFM,80,35,33,0,82,0.512,262,237,25
1976,BOS,80,48,15,0,113,0.706,313,237,76
1976,BUF,80,46,21,0,105,0.656,339,240,99
1976,CHI,80,32,30,0,82,0.512,254,261,-7
1976,DET,80,26,44,0,62,0.388,226,300,-74
1976,KCS,80,12,56,0,36,0.225,190,351,-161
1976,LAK,80,38,33,0,85,0.531,263,265,-2
1976,MNS,80,20,53,0,47,0.294,195,303,-108
1976,MTL,80,58,11,0,127,0.794,337,174,163
1976,NYI,80,42,21,0,101,0.631,297,190,107
1976,NYR,80,29,42,0,67,0.419,262,333,-71
1976,PHI,80,51,13,0,118,0.738,348,209,139
1976,PIT,80,35,33,0,82,0.512,339,303,36
1976,STL,80,29,37,0,72,0.45,249,290,-41
1976,TOR,80,34,31,0,83,0.519,294,276,18
1976,VAN,80,33,32,0,81,0.506,271,272,-1
1976,WSH,80,11,59,0,32,0.2,224,394,-170
1977,AFM,80,34,34,0,80,0.5,264,265,-1
1977,BOS,80,49,23,0,106,0.662,312,240,72
1977,BUF,80,48,24,0,104,0.65,301,220,81
1977,CHI,80,26,43,0,63,0.394,240,298,-58
1977,CLE,80,25,42,0,63,0.394,240,292,-52
1977,DET,80,16,55,0,41,0.256,183,309,-126
1977,LAK,80,34,31,0,83,0.519,271,241,30
1977,MNS,80,23,39,0,64,0.4,240,310,-70
1977,MTL,80,60,8,0,132,0.825,387,171,216
1977,NYI,80,47,21,0,106,0.662,288,193,95
1977,NYR,80,29,37,0,72,0.45,272,310,-38
