season,team_abbr,gp,w,l,otl,pts,pts_pct,gf,ga,gd
1996,MTL,82,40,32,0,90,0.549,265,248,17
1996,NJD,82,37,33,0,86,0.524,215,202,13
1996,NYI,82,22,50,0,54,0.329,229,315,-86
1996,NYR,82,41,27,0,96,0.585,272,237,35
1996,OTT,82,18,59,0,41,0.25,191,291,-100
1996,PHI,82,45,24,0,103,0.628,282,208,74
1996,PIT,82,49,29,0,102,0.622,362,284,78
1996,SJS,82,20,55,0,47,0.287,252,357,-105
1996,STL,82,32,34,0,80,0.488,219,248,-29
1996,TBL,82,38,32,0,88,0.537,238,248,-10
1996,TOR,82,34,36,0,80,0.488,247,252,-5
1996,VAN,82,32,35,0,79,0.482,278,278,0
1996,WIN,82,36,40,0,78,0.476,275,291,-16
1996,WSH,82,39,32,0,89,0.543,234,204,30
1997,ANA,82,36,33,0,85,0.518,245,233,12
1997,BOS,82,26,47,0,61,0.372,234,300,-66
1997,BUF,82,40,30,0,92,0.561,237,208,29
1997,CHI,82,34,35,0,81,0.494,223,210,13
1997,COL,82,49,24,0,107,0.652,277,205,72
1997,DAL,82,48,26,0,104,0.634,252,198,54
1997,DET,82,38,26,0,94,0.573,253,197,56
1997,EDM,82,36,37,0,81,0.494,252,247,5
1997,FLA,82,35,28,0,89,0.543,221,201,20
1997,HFD,82,32,39,0,75,0.457,226,256,-30
1997,LAK,82,28,43,0,67,0.409,214,268,-54
1997,MTL,82,31,36,0,77,0.47,249,276,-27
1997,NJD,82,45,23,0,104,0.634,231,182,49
1997,NYI,82,29,41,0,70,0.427,240,250,-10
1997,NYR,82,38,34,0,86,0.524,258,231,27
1997,OTT,82,31,36,0,77,0.47,226,234,-8
1997,PHI,82,45,24,0,103,0.628,274,217,57
1997,PHX,82,38,37,0,83,0.506,240,243,-3
1997,PIT,82,38,36,0,84,0.512,285,280,5
1997,SJS,82,27,47,0,62,0.378,211,278,-67
1997,STL,82,36,35,0,83,0.506,236,239,-3
1997,TBL,82,32,40,0,74,0.451,217,247,-30
1997,TOR,82,30,44,0,68,0.415,230,273,-43
1997,VAN,82,35,40,0,77,0.47,257,273,-16
1997,WSH,82,33,40,0,75,0.457,214,231,-17
1998,ANA,82,26,43,0,65,0.396,205,261,-56
1998,BOS,82,39,30,0,91,0.555,221,194,27
1998,BUF,82,36,29,0,89,0.543,211,187,24
1998,CAR,82,33,41,0,74,0.451,200,219,-19
1998,CHI,82,30,39,0,73,0.445,192,199,-7
1998,COL,82,39,26,0,95,0.579,231,205,26
1998,DAL,82,49,22,0,109,0.665,242,167,75
1998,DET,82,44,23,0,103,0.628,250,196,54
1998,EDM,82,35,37,0,80,0.488,215,224,-9
1998,FLA,82,24,43,0,63,0.384,203,256,-53
1998,LAK,82,38,33,0,87,0.53,227,225,2
1998,MTL,82,37,32,0,87,0.53,235,208,27
1998,NJD,82,48,23,0,107,0.652,225,166,59
1998,NYI,82,30,41,0,71,0.433,212,225,-13
1998,NYR,82,25,39,0,68,0.415,197,231,-34
1998,OTT,82,34,33,0,83,0.506,193,200,-7
1998,PHI,82,42,29,0,95,0.579,242,193,49
1998,PHX,82,35,35,0,82,0.5,224,227,-3
1998,PIT,82,40,24,0,98,0.598,228,188,40
1998,SJS,82,34,38,0,78,0.476,210,216,-6
1998,STL,82,45,29,0,98,0.598,256,204,52
1998,TBL,82,17,55,0,44,0.268,151,269,-118
1998,TOR,82,30,43,0,69,0.421,194,237,-43
1998,VAN,82,25,43,0,64,0.39,224,273,-49
1998,WSH,82,40,30,0,92,0.561,219,202,17
1999,ANA,82,35,34,0,83,0.506,215,206,9
1999,BOS,82,39,30,0,91,0.555,214,181,33
1999,BUF,82,37,28,0,91,0.555,207,175,32
1999,CAR,82,34,30,0,86,0.524,210,202,8
1999,CHI,82,29,41,0,70,0.427,202,248,-46
1999,COL,82,44,28,0,98,0.598,239,205,34
1999,DAL,82,51,19,0,114,0.695,236,168,68
1999,DET,82,43,32,0,93,0.567,245,202,43
1999,EDM,82,33,37,0,78,0.476,230,226,4
1999,FLA,82,30,34,0,78,0.476,210,228,-18
1999,LAK,82,32,45,0,69,0.421,189,222,-33
1999,MTL,82,32,39,0,75,0.457,184,209,-25
1999,NJD,82,47,24,0,105,0.64,248,196,52
1999,NYI,82,24,48,0,58,0.354,194,244,-50
1999,NYR,82,33,38,0,77,0.47,217,227,-10
1999,OTT,82,44,23,0,103,0.628,239,179,60
1999,PHI,82,37,26,0,93,0.567,231,196,35
1999,PHX,82,39,31,0,90,0.549,205,197,8
1999,PIT,82,38,30,0,90,0.549,242,225,17
1999,SJS,82,31,33,0,80,0.488,196,191,5
1999,STL,82,37,32,0,87,0.53,237,209,28
1999,TBL,82,19,54,0,47,0.287,179,292,-113
1999,TOR,82,45,30,0,97,0.591,268,231,37
1999,VAN,82,23,47,0,58,0.354,192,258,-66
1999,WSH,82,31,45,0,68,0.415,200,218,-18
2000,ANA,82,34,33,3,83,0.506,217,227,-10
2000,ATL,82,14,57,4,39,0.238,170,313,-143
2000,BOS,82,24,33,6,73,0.445,210,248,-38
2000,BUF,82,35,32,4,85,0.518,213,204,9
2000,CAR,82,37,35,0,84,0.512,217,216,1
2000,CHI,82,33,37,2,78,0.476,242,245,-3
2000,COL,82,42,28,1,96,0.585,233,201,32
2000,DAL,82,43,23,6,102,0.622,211,184,27
2000,DET,82,48,22,2,108,0.659,278,210,68
2000,EDM,82,32,26,8,88,0.537,226,212,14
2000,FLA,82,43,27,6,98,0.598,244,209,35
2000,LAK,82,39,27,4,94,0.573,245,228,17
2000,MTL,82,35,34,4,83,0.506,196,194,2
2000,NJD,82,45,24,5,103,0.628,251,203,48
2000,NYI,82,24,48,1,58,0.354,194,275,-81
2000,NYR,82,29,38,3,73,0.445,218,246,-28
2000,OTT,82,41,28,2,95,0.579,244,210,34
2000,PHI,82,45,22,3,105,0.64,237,179,58
2000,PHX,82,39,31,4,90,0.549,232,228,4
2000,PIT,82,37,31,6,88,0.537,241,236,5
2000,SJS,82,35,30,7,87,0.53,225,214,11
2000,STL,82,51,19,1,114,0.695,248,165,83
2000,TBL,82,19,47,7,54,0.329,204,310,-106
2000,TOR,82,45,27,3,100,0.61,246,222,24
2000,VAN,82,30,29,8,83,0.506,227,237,-10
2000,WSH,82,44,24,2,102,0.622,227,194,33
2001,ANA,82,25,41,5,66,0.402,188,245,-57
2001,ATL,82,23,45,2,60,0.366,211,289,-78
2001,BOS,82,36,30,8,88,0.537,227,249,-22
2001,BUF,82,46,30,1,98,0.598,218,184,34
2001,CAR,82,38,32,3,88,0.537,212,225,-13
2001,CBJ,82,28,39,6,71,0.433,190,233,-43
2001,CHI,82,29,40,5,71,0.433,210,246,-36
2001,COL,82,52,16,4,118,0.72,270,192,78
2001,DAL,82,48,24,2,106,0.646,241,187,54
2001,DET,82,49,20,4,111,0.677,253,202,51
